pActivity,activity,selectivity,labels,MaxAbsEStateIndex,MinEStateIndex,SPS,MolWt,BCUT2D_MWHI,BertzCT,HallKierAlpha,Ipc,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA7,SlogP_VSA8,TPSA,EState_VSA1,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState7,VSA_EState8,VSA_EState9,NHOHCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHeteroatoms,NumRotatableBonds,NumSaturatedHeterocycles,RingCount,MolLogP
2.2899673009342463,inactive,S1R selective,0,15.077767812054322,-4.086683843595142,24.42105263157895,569.114,35.49569272967475,1256.6049973188176,-2.2299999999999995,206202115.5655006,14.953561288656857,21.982514946293037,9.837253136417502,0.0,0.0,6.093240070938415,0.0,21.993164263750398,0.0,0.0,11.600939890232516,101.76071081585924,35.75927927555939,4.895483475517775,26.730027217550447,27.531433097588433,0.0,10.216698334856808,0.0,86.62337973464288,13.08951281182515,64.68509596676138,0.0,5.316788604006331,13.575367279421462,0.0,11.600939890232516,50.18519206722259,19.32113854343511,11.63444168209179,64.85959282832493,5.022633313741326,0.0,75.71000000000001,31.81976808271054,17.60274921607558,41.47749994230112,30.953789371418495,31.040744451236847,24.26546827384644,4.899909730850478,20.771211599071872,5.316788604006331,16.337802844032566,61.22940505676709,14.397365387952462,3.880030378462494,-0.7181965196135085,-1.4258304317354504,2.538439674297851,6.6889952063123115,-4.086683843595142,1.0,1.0,1.0,2.0,2.0,0.0,2.0,10.0,6.0,1.0,4.0,6.219100000000006
5.834162375309871,active,S1R selective,0,9.865260895910247,0.20680909863945596,31.61904761904762,285.43100000000004,16.25470271073675,572.9291275715217,-1.2799999999999998,53884.30012603369,5.106527394840706,5.749511833283905,0.0,0.0,0.0,0.0,4.899909730850478,0.0,0.0,0.0,31.562966104746007,67.82640768702122,12.586597235060536,0.0,5.106527394840706,0.0,0.0,4.899909730850478,5.917906046161393,51.99342334315925,13.08951281182515,40.97512882568197,5.749511833283905,0.0,0.0,5.749511833283905,0.0,29.1377907666643,11.83581209232279,5.917906046161393,45.2426734050825,0.0,0.0,23.47,0.0,5.106527394840706,5.41499046939678,17.70925870859326,19.510334434751158,23.12082913638927,0.0,12.13273413692322,44.73724570490846,0.0,0.0,2.648029572940287,9.865260895910247,4.420266813630361,1.0404703226433927,4.641282176450828,11.365854134608643,0.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,1.0,3.0,3.8826000000000027
5.811915626285062,active,S1R selective,0,9.837168864484882,0.1973970143613002,31.7,271.404,16.254701761991033,558.5366918134969,-1.44,32221.40400525839,10.006437125691184,5.749511833283905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.486945997912127,67.4816061709291,12.586597235060536,0.0,5.106527394840706,0.0,0.0,4.899909730850478,5.917906046161393,51.99342334315925,6.544756405912575,41.09906360866854,5.749511833283905,0.0,0.0,5.749511833283905,0.0,22.59303436075172,11.83581209232279,5.917906046161393,45.2426734050825,0.0,0.0,23.47,0.0,5.106527394840706,5.41499046939678,17.70925870859326,19.386399651764595,16.70000751346326,0.0,12.13273413692322,44.86118048789503,0.0,0.0,2.5392332766439907,9.837168864484882,4.360047241118671,1.0171324640967498,4.576589506172839,10.219194199259134,0.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,3.0,3.840100000000003
5.835647144215563,active,S1R selective,0,4.867218915343916,0.17178987586387473,16.25,326.48800000000006,15.37157773546195,670.6546783867693,-1.6799999999999997,322625.2172038703,0.0,0.0,11.648808995999854,0.0,0.0,0.0,4.899909730850478,9.665781456092393,5.098681808301038,0.0,45.03667987291831,50.75707241815219,11.605292320844956,6.544756405912575,0.0,0.0,0.0,19.66437299524391,0.0,65.46191694876245,13.08951281182515,35.65332426354336,11.387855989696924,0.0,0.0,0.0,0.0,32.75388580706906,11.959746875309355,0.0,64.89002606315002,0.0,11.387855989696924,33.95,0.0,0.0,5.41499046939678,6.041840829147961,23.757016893609425,31.494607549374166,0.0,0.0,68.46586693829522,10.082660329248245,2.0669642857142856,7.318093400940623,4.784647226946334,2.6681087505084173,1.9306981843663396,2.5952612104814072,14.277250223040578,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,1.0,3.0,4.419300000000004
7.747146969020107,active,S1R selective,0,12.81858558703139,-0.17255732740431662,15.928571428571429,569.7900000000003,16.476783723943807,1376.5612521961823,-3.3799999999999994,3276951783.9338703,14.536682415501005,5.749511833283905,0.0,0.0,11.814359458703011,0.0,14.48898409899412,0.0,0.0,0.0,44.03084871938908,117.16566188731586,26.32748664595052,17.73378494790691,14.325937321943691,28.274194162316164,0.0,9.799819461700956,5.917906046161393,64.71113180602472,51.78116128436807,71.28765809124549,5.749511833283905,9.636772684650527,5.687386274683562,5.749511833283905,0.0,68.49543047392156,6.4208216229260096,5.917906046161393,84.56973902633335,0.0,10.772448428929591,53.09,0.0,9.589074368143644,11.814359458703011,24.278541353819485,49.45891226875891,66.55336536091883,6.06636706846161,31.127987833128078,48.22184934131076,4.736862953800049,6.085949214219312,31.532506742350076,2.580007215654091,3.396487686295818,1.4718369408114993,10.03660418766892,7.283444227031532,3.8607279320894494,0.0,0.0,2.0,2.0,3.0,0.0,3.0,6.0,14.0,1.0,5.0,7.195800000000009
6.769551078621726,active,S1R selective,0,6.035838687326782,0.6543860001530456,10.923076923076923,355.52200000000005,16.51372781094764,621.3598741344318,-1.9999999999999996,787452.5531491357,14.373635638450576,0.0,11.49902366656781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.245676810150904,55.61161480092039,12.965578028838586,13.716679505790452,9.473725907600098,0.0,0.0,4.899909730850478,0.0,39.53076089108529,33.35094872352818,59.65783953108687,11.49902366656781,9.473725907600098,0.0,11.49902366656781,0.0,38.25085845437866,12.841643245852019,0.0,37.81602062862726,0.0,0.0,21.700000000000003,0.0,0.0,0.0,6.606881964512918,30.885423318332403,37.05805904107116,7.109797541277533,12.13273413692322,55.145586541001386,9.473725907600098,11.50624376950811,2.5418309082892416,0.0,2.592696023447668,1.6520818111195097,4.348173113032662,8.580740021331515,1.6977119779270753,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,12.0,0.0,2.0,4.981200000000006
1.299997602857746,inactive,S1R selective,0,12.748777339325645,-0.6923952533390669,24.08823529411765,478.6620000000003,32.13357748647958,1170.4014076161875,-2.479999999999999,55814351.450422265,16.156983476009223,0.0,5.131558479839333,0.0,5.907179729351506,0.0,9.694446914922299,4.9839785209472085,0.0,11.336785877934737,37.255572541998674,74.39569033224747,29.069036749606795,11.294978805832148,9.901064578912528,33.14797251605517,0.0,15.200676855804016,0.0,69.55422102945231,18.823180288987334,58.59909615947802,0.0,11.050456081168516,5.131558479839333,0.0,11.336785877934737,51.671840657094656,12.841643245852019,0.0,59.95690917863925,0.0,10.772448428929591,91.48,5.601050810983688,9.901064578912528,11.949020558499466,29.578494046536306,55.9660693553848,10.57107518854976,11.336785877934737,42.46456947923127,22.12441405549464,5.733667477162185,0.0,21.08629184771491,17.054493516163934,7.075912151766433,-0.0627289434659144,6.159440916449639,4.123824628460374,0.0,4.0,2.0,0.0,2.0,2.0,1.0,3.0,7.0,8.0,0.0,5.0,4.161400000000002
6.0999990348465305,active,S1R selective,0,5.570291477702192,0.908683390022676,16.0,282.38700000000006,16.460192562637403,624.9228128586057,-1.8699999999999997,110872.13378348017,4.523094936973348,5.693927994848461,5.760247418874442,0.0,0.0,0.0,4.899909730850478,0.0,0.0,0.0,47.985340329193384,26.31013685145522,30.292435902053022,0.0,4.523094936973348,5.573104530069267,0.0,10.056572987975922,0.0,26.689117645233267,19.634269217737724,47.731554359713364,11.257379486545457,0.0,0.0,0.0,0.0,29.69084220571365,0.0,6.923737199690624,31.08907935611408,0.0,16.830484016614722,29.270000000000003,0.0,0.0,0.0,0.0,43.07271774608363,17.557377644692274,0.0,0.0,60.3119028364991,4.523094936973348,5.570291477702192,2.4755990173847318,4.227971387629125,4.545523211832702,0.908683390022676,4.5692404469079175,7.581412622339611,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,0.0,3.0,4.1491200000000035
3.362510270487489,inactive,S1R selective,0,13.231811933170746,-4.32578306805125,17.4375,448.5330000000001,19.41318551075901,947.2063481468891,-2.3499999999999988,19704353.58114141,4.899909730850478,0.0,5.693927994848461,0.0,5.907179729351506,6.176298517443475,14.376249850067484,0.0,18.269926951325495,0.0,25.122838405075452,43.733926674788655,56.94673954494691,5.563451491696996,17.96578232709628,5.907179729351506,0.0,19.58030420514718,0.0,64.71447826651531,26.1790256236503,52.343678738634345,0.0,0.0,13.171245143024459,0.0,0.0,51.66650955814898,32.10745457512064,0.0,65.4797713402544,0.0,0.0,41.370000000000005,11.73975000914047,17.96578232709628,5.907179729351506,30.767713921296615,75.60688029328743,12.13273413692322,6.06636706846161,9.581712665995664,11.823646930541102,5.098681808301038,41.030431984513925,17.382133500900707,4.721837564992327,2.7861724655682103,0.023640225348378285,1.197620300844049,6.549549550907533,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,8.0,6.0,1.0,4.0,4.538800000000005
4.795880017344075,inactive,S1R selective,0,13.154901623791378,-0.16500770498741257,15.25,433.55600000000027,16.465355335457517,1047.7407600088534,-3.189999999999999,27078017.104918085,15.37044016181271,5.749511833283905,5.693927994848461,0.0,5.907179729351506,0.0,14.460318640164214,0.0,5.098681808301038,0.0,12.990104268152233,68.47778428608606,47.99141720797731,7.109797541277533,9.53140013787187,11.594566004035068,0.0,20.08125186839976,0.0,51.61444254938121,18.97134255119644,71.30664852708672,5.749511833283905,15.37044016181271,5.687386274683562,5.749511833283905,0.0,40.368037770083006,25.807221274690605,0.0,47.07467660270538,0.0,0.0,81.07000000000001,0.0,4.794537184071822,5.907179729351506,23.17266693196389,50.75707241815219,11.257379486545457,7.109797541277533,41.34095835221777,34.67402706557371,9.835544762101087,7.300245126880217,17.231868138892388,11.395575362059573,4.7984570615607645,0.5431428145434283,8.408318425584648,3.8647945763690434,1.6166214054853194,2.0,1.0,0.0,1.0,1.0,2.0,3.0,7.0,9.0,0.0,4.0,3.638600000000002
